ลำดับ,กลาง,ใต้,เหนือ,อีสาน,ชนิดของคำ,ความหมาย
67,กระจอกตาล,กระจอก/  จอก,มะผีก/  จอก,จอกฟ้า/  จอกตาล/  จอก,น.,ชื่อนกชนิดหนึ่ง เพศผู้บริเวณกระหม่อม ท้ายทอย และตะโพกสีเขียวแกมเทา มีแถบสีนํ้าตาลแดงที่หางตา ข้างคอ และหัวไหล่สีเหลือง คอสีดำ เพศเมียตัวสีนํ้าตาลแกมเทา พบทั่วไป
68,กระจอกบ้าน,จอก/  กระจอก,จอก,จอก/  จอกบ้าน,น.,ชื่อนกชนิดหนึ่ง กระหม่อมสีนํ้าตาลเข้ม แก้มขาวมีแต้มสีดำ คางและคอสีดำ หลังและปีกสีน้ำตาลลายดำ มีแถบสีขาวสองแถบที่ปีก ท้องสีนํ้าตาลอ่อน หากินเป็นฝูงตามพื้นดิน พบทั่วไป
69,กระจอกใหญ่,จอก,จอก,จอก,น.,ชื่อนกชนิดหนึ่ง เพศผู้ตัวสีนํ้าตาลลายดำ กระหม่อมและตะโพกสีเทา คอและอกดำ ท้องสีขาว เพศเมียตัวสีนื้าตาลอ่อน มีแถบสีเนื้อบริเวณหางตา หากินรวมกันเป็นฝูงตามพื้นดิน
70,,,กระจังตาอ้อย/  กระจังบน/  บัวยึด,,น.,ชื่อลายอย่างหนึ่ง เป็นลวดลายบัวหงาย ประดับบนส่วนขดลวดที่ยึดโครงชั้นฉัตรแต่ละชั้น เพื่อให้สวยงาม
71,กระจับ/  กะจับ/  มาแง่ง,กระจับ/  หัวจับเขาควาย/  สับสั้บ,กระจับ/  กระบวย/  ธนูควาย,กระจับ,น.,ชื่อพรรณไม้นํ้าชนิดหนึ่ง ใบแตกออกรอบ เหง้าเป็นรูปวงกลม ใบรูปจัก สีเขียวอมดำแดง ลอยอยู่ตามผิวน้ำ ผลเป็นฝักรูปคล้ายหัวกระบือ มีเขาโง้งสองข้าง เนื้อในสีขาว รับประทานได้ ใบและเนื้อในฝักใช้เป็นยา
72,กระจับเขา,,บะบ้าดิน,กระจับ,น.,ชื่อพรรณไม้เถาเลื้อยชนิดหนึ่ง เลื้อยตามพื้นดิน ใบเดี่ยว รูปสามเหลี่ยม มีแฉกเหลี่ยม 3 แฉก ขอบใบเรียบ ออกดอกเป็นช่อ ผลกลม ภายในมี 5 ช่อง เมล็ดรูปไข่ รากใช้เป็นยา
73,กระจับนก,,มะดะ,กระจับ,น.,ชื่อพรรณไม้ขนาดเล็กชนิดหนึ่ง ลำต้นเล็กเรียว กิ่งก้านรูปทรงกระบอก สีเขียวและนํ้าตาลอมแดง ใบเดี่ยว ปลายใบและโคนแหลม ก้านใบสั้น ออกดอกสีเหลืองแกมเขียวเป็นช่อ กลีบดอก 5 กลีบ ขอบหยัก ผลรูปไข่ กลีบเป็นสันจักเป็นพูลึก เปลือกต้นใช้ทำยา
74,กระจับเปิด,,กระจับเปิด,,ว.,ลักษณะของกระจับที่พลิกลงเวลาช้างเดิน ถ้าช้างตกใจจะวิ่ง ควาญจะปล่อยโซ่ที่ผูกต่อกับกระจับลงกับพื้น เพื่อให้กระจับกระดกขึ้น ช้างจะวิ่งได้ลำบากเนื่องจากจะโดนเหล็กแหลมแทง
75,กระจิ๊ด,จิบ,,ขี้ตุ่น/  ตีด,น.,ชื่อนกชนิดหนึ่ง คิ้วยาวสีเหลืองอ่อน มีแถบคาดตาสีดำ ลำตัวด้านบนสีนํ้าตาลอมเขียว ปีกมีแถบขาวสองแถบ ขอบขนปลายปีกสีขาวชัดเจน ลำตัวด้านล่างขาว
76,กระจิบ,จิบ,,กระจิบ/  นกจิบ,น.,ชื่อนกชนิดหนึ่ง หน้าผากและกระหม่อมสีนํ้าตาลแดง คิ้วสั้นสีเนื้อ หน้าสีเทามีลายขีดขาว ลำตัวด้านบนสีเขียวอมนํ้าตาล ลำตัวด้านล่างสีเนื้อ เพศผู้มีขนหางคู่กลางยาวเด่น
77,กระเจี๊ยบ/  กระเจี๊ยบแดง/  กระเจี๊ยบเปรี้ยว/  ส้มตะแลงเครง,กระเจี๊ยบ/  ส้มหมา,กระเจี๊ยบแดง/  ผักเก็งเค็ง/  ส้มเก็ง/  ส้มเก็งเค็ง/  ส้มปุ๊/  ส้มปู/  ส้มพอดี/  ส้มพอเหมาะ,กระเจี๊ยบ/  ต้นเจี๊ยบ/  ส้มปู/  ส้มพอดี,น.,ชื่อพรรณไม้พุ่มขนาดเล็กชนิดหนึ่ง ลำต้นและกิ่งก้านสีแดงเข้ม ใบเว้าลึก ออกดอกสีเหลืองกลางดอกสีแดง กลีบเลี้ยงสีแดงหนา รสเปรี้ยว ผลยาวปลายแหลมมีจีบตามยาว ใบ กลีบเลี้ยง เมล็ด และผล ใช้เป็นยา
78,กระเจี๊ยบมอญ/  กระเจี๊ยบ ขาว/  กระเจี๊ยบ/  มะเขือมอญ/  มะเขือทะวาย/  ถั่วกะเหรี่ยง,กระเจี๊ยบผี/  ส้มหมามอญ,กระเจี๊ยบ/  มะเขือพม่า/  มะเขือละโว้/  มะเขือมื่น,กระเจี๊ยบมอญ/  กระเจี๊ยบ ขาว/  ผักเมือก,น.,ชื่อพรรณไม้ล้มลุกชนิดหนึ่ง ใบโตหยักลึก มีขนคลุม ดอกสีเหลืองโต ลูกกลมยาว โคนตรงปลายแหลม ผลเมื่อแก่จะแตกออกเห็นเมล็ดกลมสีดำ ผลรับประทานได้ ใช้เป็นยา
79,กระเจียว/  อีเจียว/  กระเจียวแดง/  บัวสวรรค์,กระเจียว/  ขมิ้น,กระเจียว/  อาว,กระเจียวแดง,น.,ชื่อพรรณไม้ล้มลุกชนิดหนึ่ง มีเหง้าในดิน ใบคล้ายใบพาย ออกดอกพร้อมกับใบโคน ช่อมีกาบซ้อนอยู่มาก ดอกสีเหลืองปนขาว กาบดอกตอนบนสีม่วงแดง พบทั่วไปในป่าโปร่ง ตามโคกหรือใต้ร่มไม้ใหญ่ หน่ออ่อนและดอกรับประทานได้
80,กระแจะ/  กระจับ/  จะแคะ,เปราะ/  ตรับ,กระแจะ/  จะแคะ,,น.,1. รูปปลอกเท้าเหล็กสำหรับจับช้างดุ 2. โซ่หรือกำไลเหล็กที่ทำเป็นปลอกสวมเท้าหน้าช้างทั้งคู่ให้ชิดกัน เพื่อกันไม่ให้ช้างเดินเร็วจนไกลถิ่นเกินไป ขณะที่ปล่อยช้างให้ไปหากินเองในป่า
81,กระแจะ/  กำลังช้างสาร/  ขมิ้นพระต้น/  ช้างโน้ม/  ช้างโหม/  ฝิ่น,กะแจะ/  ช้างน้าว/  ช้างสารซับมัน/  คงคราน/  ตานเหลือง/  ตานนกกด/  ตาชีบ้าง/  สุหลง,กระแจะ/  ตานเหลือง,กระแจะ/  ช้างน้าว/  ตานกกรด/  แง่ง,น.,ชื่อพรรณไม้ยืนต้นขนาดกลางถึงใหญ่ชนิดหนึ่ง ใบเดี่ยวรูปไข่ปลายแหลม ออกดอกเป็นช่อสีเหลืองส้ม ใช้เปลือกต้น ผล และเนื้อไม้เป็นยา
82,กระแจะตะนาว,กระแจะจันทน์,,กระแจะ,น.,ชื่อเครื่องหอมซึ่งปรุงขึ้นด้วยกรรมวิธีแบบโบราณ ใช้สำหรับแก้โรคหัวใจ มีสมุนไพรเป็นเครื่องประสม เช่น อบเชย ไม้จันทน์หอม เกสรดอกไม้ เป็นด้น
83,กระชัง,กระชัง/  กระชังเขียว/  ไซ,กระชัง,กระชัง/  กระซังปลา/  จั่น,น.,กรงสำหรับใช้พักปลาหรือเลี้ยงปลาและวางลงในแหล่งนํ้า ทำด้วยไม้ไผ่ ไม้กระดาน หรือวัสดุอื่น
84,กระชับ/  ขี้ครอก,ขี้ครอก/  แซง,ขี้อ้น/  เกี๋ยงนา/  มะขะนัดนํ้า/  หญ้าผมยุ่ง,ขี้ครอก/  ขี้อ้น/  ขี้อ้นนํ้า/  ขี้อ้นดอน,น.,ชื่อพรรณไม้ล้มลุกชนิดหนึ่ง กิ่งก้านมีขนขึ้นประปราย ใบเดี่ยวรูปสามเหลี่ยม ริมจักฟันปลา ผิวสาก ก้านยาว ออกดอกเล็กเป็นช่อ ผลรูปไข่ มีหนามนุ่ม ใช้ต้น ใบ ราก ผล และเมล็ดเป็นยา
