ลำดับ,กลาง,ใต้,เหนือ,อีสาน,ชนิดของคำ,ความหมาย
6454,หมัด/  เหาช้าง,หมัด,เหาช้าง/  ฮิ้น,หมัด/  เหา,น.,แมลงขนาดเล็กชนิดหนึ่ง อาศัยอยู่ตามร่องแตกของผิวหนังที่ปลายหางช้าง เกาะกินเลือดและขนหางช้าง ทำให้คัน
6455,หมั้น,หมั้น/  โต้หนัง,หมั้น,หมั้น,ก.,มอบสิ่งของให้ฝ่ายหญิงเพื่อยืนยันว่าจะแต่งงานด้วย
6456,หมั่นไส้/  หมั่นเขี้ยว,หมั่นไส้/  หมั่น/  กะมืด,หมั่นไส้/  เดียด,หมั่นไส้/  เดียด,ว.,ชังน้ำหน้า
6457,,หมา 5 นิ้ว,หมาชาวเล็บ,,น.,สุนัขที่มีนิ้วและเล็บรวมกัน 20 นิ้ว เชื่อกันว่าดุ
6458,หมาก,หมาก,หมาก,หมาก,น.,ชื่อพรรณไม้ยืนต้นจำพวกปาล์มชนิดหนึ่ง มีหลายพันธุ์ ลำต้นเดี่ยวไม่แตกกอ เนื้อเป็นเสี้ยนยาว ปลายลำต้นประกอบด้วยโคน กาบใบหุ้มติดลำต้นเป็นแผ่นใหญ่ ก้านประกอบด้วยใบย่อย ออกดอกรวมกันเป็นช่อใหญ่ ผลกลมหรือกลมรี ผลอ่อนสีเขียวเข้ม ผลแก่ผิวเปลือกจะเปลี่ยนเป็นสีเหลืองอมส้ม
6459,หมาก/  หมากเมีย,หมากเมีย,หมาก,หมาก/  หมากเมีย/  ต้นหมาก,น.,ชื่อพรรณไม้ยืนต้นชนิดหนึ่ง ลำต้นทรงกระบอกกลม ไม่มีกิ่งก้าน ใบประกอบคล้ายใบมะพร้าว ออกเป็นกระจุกที่ปลายต้น ออกดอกเล็กเป็นช่อจั่น ผลรูปไข่ปลายแหลม ใบ ดอก ผลอ่อน เปลือกผล และราก ใช้เป็นยา
6460,,,,หมากกะแหล่ง/  บักกะแหล่ง/  กะแหล่ง,น.,สัญญาณแขวนคอควายทำด้วยเหล็ก
6461,หมากแก่/  หมากสง,หมากแก่,หมากแห้ง,หมากแก่/  หมากแห้ง,น.,ผลหมากที่แก่จัด
6462,หมากแขวน,รากหมาก,ราก/  ฮาก/  ฮากหมาก,ราก,น.,รากของต้นหมากที่งอกอยู่เหนือดิน
6463,หมากจีบ,หมากจีบ,หมากคำ/  หมากหัว/  หมากหมื่น/  หมากเบ็ง,หมากคำ/  หมากเคี้ยว/  หมากอีแปะ/  หมากไหม,น.,ผลหมากที่ตากแห้ง ใช้เป็นเครื่องในพิธีกรรมต่างๆ
6464,หมากเจียน/  หมากซีก,หมากเฉียด/  หมากริด,หมากเจียน/  เจียนหมากแห้ง,หมากเจียน/  เจียนหมาก/  หมากหนีบ/  หมากไหม,น.,หมากที่ตัดผิวเปลือกออกเป็นสองชั้นแล้วหั่นเปลือกออก เอาเนื้อหมากออกจากเปลือก แล้วตากแดด ทำเป็นหมากแห้ง
6465,หมากซอย/  หมากหั่น,หมากซอย,,หมากฝาน,น.,หมากที่ผ่าแล้วคัดเพื่อนำมาซอยเอาเนื้อหมาก ใส่กระด้งนำไปตากแดด ทำเป็นหมากแห้ง
6466,หมากดิบ,หมากดิบ,หมากสุบ/  หมากสุบพลูแหล้ม/  หมากจีบพลูแหล้ม,หมากดิบ/  หมากพลู/  หมากอีแปะ,น.,หมากที่นำมากินพร้อมใบพลู ใส่ปูนและเครื่องต่างๆ เป็นคำ
6467,หมากดิบ/  หมากอ่อน,หมากอ่อน,หมากดิบ,หมากดิบ/  หมากอ่อน,น.,ผลหมากที่ยังไม่แก่
6468,หมากดิบนํ้าค้าง,หมากดิบน้ำค้าง/  น้ำค้างกลางเที่ยง,,หมาก,น.,ชื่อพรรณไม้ยืนต้นจำพวกหมากชนิดหนึ่ง ลำต้นเล็กตรง ใบรูปหอกแคบเล็กเรียว ปลายและโคนแหลม สีเขียว มีสองชนิด คือ ตัวผู้ ใบแคบเรียว และตัวเมีย ใบกว้างและโตกว่า ลำต้นและใบอ่อนฉํ่านํ้า ออกดอกเล็กสีขาวเป็นช่อ ทุกส่วนใช้เป็นยา
6469,หมากแดง,หมากแดง/  กับแดง/  หมากหวิง,หมากแดง,หมากแดง,น.,ชื่อพรรณไม้ยืนต้นจำพวกหมากชนิดหนึ่ง ลำต้นและก้านใบสีแดงอมล้ม ใบย่อยสีเขียว ดอกและผลเหมือนหมาก ใบใช้เป็นยา
6470,หมากต้นสาว/  หมากต้นเตี้ย,หมากเตี้ย/  หมากต้นตํ่า/  หมากเล็ก,,หมากเตี้ย,น.,หมากที่มีต้นเตี้ย
6471,หมากทวาย,,,หมากทวาย,น.,หมากที่ออกนอกฤดูกาล
6472,หมากนางลิง,หมากนางลิง/  หมากกะลิง,หมากเอียก/  หมากหน่อ,หมากน้อย,น.,ชื่อพันธุ์หมากชนิดหนึ่ง ลำต้นแตกหน่อขึ้นเป็นกอ
6473,หมากน้ำค้าง,,,หมากน้อย,น.,หมากที่ออกดอกในเดือนมีนาคมถึงเดือนเมษายน
6474,หมากเน่า/  หมากกระซี่,หมากเน่า,,หมากเน่า,น.,หมากที่นํ้าอยู่ข้างในผล เนื้อบางติดเปลือกอยู่ด้านใน เป็นหมากที่มีผลเสีย
6475,หมากปี,หมากยาม,หมากปี,หมากปี,น.,ต้นหมากที่ออกดอกในปลายฤดูหนาวราวเดือนกุมภาพันธ์ถึงเดือนมีนาคม
6476,หมากผู้,หมากผู้ป่า,หมากผู้ป่า/  หมากปู้ป่า,หมากผู้,น.,ชื่อพันธุ์หมากชนิดหนึ่ง ใบแคบ ขึ้นอยู่ตามป่า
6477,หมากผู้หมากเมีย,หมากผู้หมากเมีย,หมากผู้/  หมากปู้,หมากผู้,น.,ชื่อพรรณไม้ยืนต้นขนาดเล็กชนิดหนึ่ง ลำต้นเล็กกลม ข้อถี่ ลำสีนํ้าตาลอ่อน ใบรูปหอก ปลายใบแหลม ขอบใบเรียบ มีกาบใบหุ้มลำต้น ใบเรียงเป็นชั้นสลับกัน ออกดอกเล็กเป็นช่อ สีขาว
6478,หมากผู้หมากเมีย/  มะผู้มะเมีย,หมากผู้หมากเมีย,หมากผู้หมากเมีย/  หมากปู้หมากเมีย,หมากผู้หมากเมีย,น.,ชื่อพรรณไม้พุ่มขนาดย่อมชนิดหนึ่ง ลำต้นกลมเรียว มีข้อถี่ๆ ใบเดี่ยวเป็นแผ่นรูปหอกปลายแหลม ก้านเป็นกาบเล็กแคบอวบยาวสีเขียวขอบแดง ออกดอกเล็กเป็นช่อโตสีม่วงแดง กลีบดอกบานสีเหลืองขาว ผลกลมเล็ก ใบ ดอก และราก ใช้เป็นยา
6479,,หมากพันพลูร้อย/  หมากพลู,,,น.,"หมากจำนวน 1,000 ลูก และพลูจำนวน 100 กำ เป็นสินสอดในประเพณีการเรียกสินสอดของพ่อแม่ฝ่ายหญิงในภาคใต้"
6480,,,หมากพันสาม,,น.,หมากที่ร้อยไว้สิบสามชิ้น จำนวน 10 พะวง
6481,หมากยับ/  หมากทุบ,หมากแห้ง/  หมากทุบ,หมากแห้ง,หมากแห้ง/  หมากทุบ/  หมากไหม,น.,ผลหมากแก่จัดที่เก็บไว้ทั้งเปลือก เพื่อรับประทานได้นาน
6482,หมากเล็กหมากน้อย,หมาก,หมาก,หมังคัง/  แปะ,น.,ชื่อพรรณไม้พุ่มขนาดย่อมชนิดหนึ่ง เมล็ดสีเขียวเป็นโพรงข้างใน ผลรับประทานกับหมาก
6483,หมากแว่น/  หมากหั่น,หมากแว่น/  หมากชอย,หมากแว่น/  หมากเชี่ยน,หมากแว่น/  หมากเชี่ยน,น.,เนื้อหมากที่ได้จากตากแห้ง แล้วนำมาตัดให้เป็นแผ่น
6484,หมากสวนสาว/  หมากสาว,หมากสาว,,หมากหล่น/  หมากล้น/  หมากง่อน/  หมากอ่อน/  จีหมาก,น.,หมากที่แทงช่อดอกออกมาแล้วยังเล็กและยังไม่ติดผล
6485,หมากสุก/  หมากสง/  หมากแก่,หมากสุก/  หมากลึน,,หมากสุก/  หมากแก่/  หมากแกร็น,น.,ผลหมากที่แก่จัด หากอยู่บนต้นจะร่วงลงมาเอง
6486,,,หมากสุ่ม/  หมากเบ็ง,,น.,หมากที่นิยมนำไปถวายพระเป็นพุ่ม เป็นเครื่องสักการะของชาวล้านนา
6487,หมากใส่ศพ,,หมากใส่ปากศพ,,ก.,หมากพลูสำหรับใส่ปากศพ เป็นคติให้กับคนที่ยังมีชีวิตอยู่ ว่าแม้แต่หมากที่คนตายเคี้ยว แม้จะป้อนใส่ให้ในปากก็ยังไม่สามารถเคี้ยวได้ เช่นเดียวกับสมบัติทั้งหลาย เมื่อตายแล้วก็ไม่มีใครสามารถนำไปได้
6488,,,,หมากหม้วย/  หมากมวย/  หมากม่วย,น.,ชื่อพันธุ์ข้าวเหนียวชนิดหนึ่ง เป็นข้าวเบา ปลูกในภาคอีสาน ปล้องสีเขียวอมม่วง ใบสีเขียวเข้มมีขน จับรวงถี่ปานกลาง เปลือกสีเหลืองปนนํ้าตาลอมดำ มีขน หางยาว ข้าวสารสีขาวขุ่น อ่อนนุ่ม เก็บเกี่ยวช่วงออกพรรษา ข้าวออกเป็นนํ้านมพอดี ชาวบ้านจะนำมาตำ และนำนํ้าจากเมล็ดข้าวมากวนทำข้าวทิพย์เพี่อถวายเป็นพุทธบูชา
6489,,,หมากหมื่น/  หมากลุน,,น.,หมากที่ได้จากตากแห้งแล้วนำไปร้อยเชือกเป็นแถว มัดรวมกันได้เป็นพวง แล้วนำพวงหมากรวมกัน 10 พวง
6490,,หมากหั่นร้อยพวง/  พวงหมากแห้ง,หมากหัว/  หมากพัน,หัวหมาก,น.,หมากที่ตากแห้ง ใช้เชือกร้อยไว้ แล้วมัดเป็นพวง ทำเพื่อเก็บไว้ได้นาน
6491,หมากแห้ง,หมากแห้ง/  หมากตาก,หมากแห้ง,หมากแห้ง,น.,เนื้อหมากที่ทำให้แห้งโดยวิธีตากแดด
6492,หมากแหว่ง,หมากพร่อง,หมากแหว่ง/  หมากเป็นแมง,หมากทอก/  หมากแมง/  หมากเกิด/  หมากกินเดือน/  เดือนกินหมาก,น.,หมากที่ด้วงแทะเนื้อทำให้เนื้อหมากไม่เต็ม
6493,,,หมากไหมร้อย,,น.,หมากที่ร้อยไว้สิบสามชิ้น
6494,หมาขี้เรื้อน,หมาขี้เรื้อน/  หมาหนังกลับ,หมาขี้เรื้อน/  หมาขี้เฮื้อน,หมาขี้เรื้อน/  หมาขี้เฮื้อน/  หมาขี้เฮี้ยน,น.,สุนัขที่เป็นโรคเรื้อน
6495,หมาค่าง/  หมาลายด่าง,หมาด่าง/  หมาลาย,หมาโก้ง,หมาลาย/  หมาด่าง/  หมาก่าน,น.,สุนัขที่มีลายเป็นด่างดวงโตๆ
6496,หมาจิ้งจอก/  สุนัขจิ้งจอก,จิ้งจอก/  หมาเถื่อน,หมาจิ้งจอก/  หมาจี้จอก,หมาจิ้งจอก/  หมาจอก,น.,ชื่อสุนัขป่าชนิดหนึ่ง ขนตามลำตัวสีนํ้าตาลเทา ปากแหลม หูตั้งแหลมตรง หางเป็นพวง เขี้ยวและฟันคมมาก กลางวันมักอยู่ในโพรงดิน ออกหากินเวลากลางคืน กินทั้งพืชและสัตว์
6497,,,หมาด,หมาด/  เหล็กหมาด/  ไม้หมาด/  เหล็กซี่/  เหล็กส่วน/  เหล็ก,น.,ไม้หรือเหล็กแหลมที่ใช้เจาะ อย่างไม้แหลมที่ใช้เจาะจมูกควายเพื่อสนตะพายเป็นต้น
6498,,หมาด,เหลืองกล้วย,ม้าน,ก.,เหี่ยวแห้ง ครึ่งแห้งครึ่งสด ด้าน ใช้แก่ข้าว
6499,หมาดำ/  หมานิล,หมาดำ/  หมาหมี,หมาคี้/  หมากี้/  หมานิล,หมาดำ/  หมาหมี,น.,สุนัขที่มีสีดำตลอดตัว
6500,หมาแดง,,,,น.,สุนัขพันธุ์ไทยหลังอานที่มีลักษณะขนสีแดง
6501,หมาตีนด่าง/  หมาใส่ถุงเท้า,หมาใส่ถุงเท้า/  หมาตีนด่าง,หมาตีนเท้า/  หมาตีนขาว,หมาตีนด่าง,น.,สุนัขที่ปลายเท้าทั้งสี่สีขาว
6502,หมาไทย/  หมาพันธุ์ไทย,หมาไทย,หมาไทย,หมาไทย/  หมาพื้นบ้าน/  หมาบ้าน/  หมาราษฎร์,น.,สุนัขสายพันธุ์หนึ่ง หลายพันธุ์มีเชื้อสายและถิ่นกำเนิดในเมืองไทย มีรูปร่างลักษณะ รวมทั้งอุปนิสัยเป็นเอกลักษณ์เฉพาะตน
6503,หมาไทยโบราณ/  หมาไทย,,,หมาพื้นบ้าน,น.,สุนัขไทยที่มีมาแต่โบราณ มีลักษณะปากทู่ รูปปากไม่แหลม หัวกว้าง ลำตัวกว้าง ขาหน้าและขาหลังได้สัดส่วนกับความสูง หางดาบ มีหลายสี ขนสั้นเกรียนมากติดหนัง ขนหยาบแข็ง
6504,หมาไทยหลังอาน/  หมาหลังอาน/  หมาอาน/  หมาตามเกวียน,หมาหลังอาน,หมาหลังอาน,หมาหลังอาน,น.,ชื่อสุนัขพันธุ์พื้นเมืองของไทยพันธุ์หนึ่ง มีนิสัยดุร้าย ท่าทีสง่างาม ช่วงลำตัวยาว อกลึก เอวคอด ส่วนของสันหลังมีอาน หางโค้ง หัวเป็นรูปลิ่ม หน้าผากกว้าง บริเวณปากมีสีดำ ขนสั้นเกรียนเรียบ หนาและแน่น ผิวหนังนิ่ม มีหลายสี แต่เป็นสีเดียวตลอดทั้งตัว
6505,หมาบ้า/  สุนัขบ้า/  หมาพิษสุนัขบ้า,หมาบ้า,หมาบ้า/  หมาว้อ/  หมาว้อตาลาย/  หมาว้อแอวด้าง,หมาบ้า/  หมาว้อ,น.,สุนัขที่มีนํ้าลายฟูมปาก ไม่กินข้าวกินน้ำ มีอาการตาลาย กลัวนํ้า ตัวแข็งทื่อ
6506,หมาป่า,หมาป่า,หมาป่า/  หมาจอกวอ/  หมาผี,หมาป่า/  หมาจอก,น.,ชื่อสุนัขป่าหลายชนิด มีถิ่นกำเนิดทั่วโลก ขนลำตัวมีสีต่างๆ เช่น นํ้าตาลเทา เทาปนแดง หากินและอยู่รวมกันเป็นฝูง
6507,หมามุ่ย/  หมามุ้ย/  ตำแย,หมามุ่ย,หมามุ่ย/  มะเหนียง/  บะเหยือง/  หมาเหยือง/  หมาเหยียง,หมามุ่ย/  ตำแย,น.,ชื่อพรรณไม้ล้มลุกเลื้อยชนิดหนึ่ง ใบรูปไข่ มีขนสีเทาทั้งสองด้าน ออกดอกเป็นช่อที่ซอกใบ มีดอกย่อยจำนวนมาก ห้อยลง กลีบดอกสีม่วงเข้ม รูปดอกถั่ว ผลเป็นฝัก โค้งไปมา มีขนซึ่งหลุดร่วงง่ายและเป็นพิษ
6508,หมาแม่/  หมาลูกอ่อน,หมาแม่/  หมาแม่ลูกอ่อน/  หมาลูกอ่อน,หมาแม่ลูกน้อย/  หมาแม่ด้อง/  หมากะด้อง,หมาแม่ลูกอ่อน,น.,สุนัขตัวเมียที่ยังให้นมลูก มีรูปร่างผอมและนมยาน
6509,หม้ายขันหมาก,หม้ายขันหมาก,หม้ายขันหมาก/  ร้างขันหมาก/  ฮ้างขันหมาก,หม้ายขันหมาก/  ร้างขันหมาก/  ฮ้างขันหมาก,น.,ผู้หญิงซึ่งทำพิธีหมั้นแล้ว แต่ภายหลังฝ่ายชายไม่แต่งงานด้วย
6510,,,,หมาแย่ง/  หมาแง่ง,น.,ชื่อพันธุ์ข้าวเหนียวชนิดหนึ่ง ปลูกในภาคอีสาน
6511,หมาไร้ขน/  หมาไม่มีขน,,,หมาขนโล้น,น.,สุนัขสายพันธุ์หนึ่ง มีหลายพันธุ์ ลำตัวมักไม่มีขน มีบ้างที่ส่วนหัว หางและอุ้งเท้า ผิวหนังเกลี้ยงและอ่อนนุ่ม กลิ่นไม่เหม็น นิสัยทั่วไปขี้ประจบ
6512,หมาล่าเนื้อ,หมาล่าเนื้อ/  หมายิกกวาง,หมาไล่ล่า,หมาพาน,น.,สุนัขที่เลี้ยงไว้สำหรับไล่ต้อนสัตว์ป่า เพื่อนำไปในจุดที่มีคนซุ่มดักยิงอยู่
6513,,หมาล่าเนื้อ,หมาแลน,หมาพาน/  หมาไล่กวด,น.,สุนัขที่เลี้ยงไว้เพื่อล่าเนื้อตะกวดโดยเฉพาะ
6514,หมาลายขวาง,หมาลายเสือ,หมาเลน,หมาลายขวาง/  หมาลาย/  หมาด่าง,น.,สุนัขที่มีลายเป็นทางขวาง โดยมากมีสีนํ้าตาลดำสลับสีนํ้าตาล
6515,หมาลิ้นดำ,หมาลิ้นด่าง/  หมาลิ้นปาน,หมาลิ้นดำ/  หมาลิ้นก่าน,หมาลิ้นก่าน/  ลิ้นก่าน,น.,สุนัขที่มีลายที่ลิ้น ถือว่าเป็นสุนัขดุ
6516,หมาสี่ตา,หมาสี่ตา,หมาสี่ตา/  หมาตาสี่,หมาสี่ตา,น.,สุนัขที่มีลายแต้มเป็นดวงเหนือตาทั้งสองข้าง
6517,หมาหนัง,,,หมาหลังอาน,น.,สุนัขไทยพันธุ์หนึ่ง ขนหยาบแข็ง ค่อนข้างเกรียนจนถึงเกรียนมาก สีนํ้าตาลปนดำ คล้ายสีเม็ดมะขาม เกิดแถวจังหวัดจันทบุรี-ตราด เป็นต้นสายของสุนัขไทยหลังอาน
6518,หมาหลี/  หมอลี,,,,น.,ปลวกชนิดหนึ่ง ทำรังอยู่ตามโคก โคนต้นไม้ หรือบนต้นไม้ก็มี มีทั้งชนิดสีนํ้าตาลและสีดำ
6519,หมาหูตูบ,หมาหูตูบ/  หมาหูปรก/  หมาหูปก,หมาหูตูบ/  หมาหูต๊อบ,หมาหูตูบ/  หมาหูตก/  หมาหูลูบ,น.,สุนัขที่มีลักษณะของใบหูหลุบลง
6520,,,หมิ่นหม้อ/  มินหม้อ,,น.,อุปกรณ์อย่างหนึ่งในการตอน เป็นหมูเศษผ้าที่เผาไหม้หมด
6521,หมีเหม็น,กะทัง/  ทัง/  ทังบวน/  มือเมาะ,อีเหม็น/  หมีโป้ง,หมีเหม็น/  ใบเหม็น/  กะทัง/  ทัง,น.,ชื่อพรรณไม้ยืนต้นขนาดใหญ่ชนิดหนึ่ง เปลือกต้นสีนํ้าตาล ใบเดี่ยวรูปไข่ปลายและโคนแหลม สีเขียวเข้ม ออกดอกเป็นช่อ กลิ่นหอม ผลกลมเท่าปลายนิ้ว กลิ่นเหม็น เปลือกต้น เมล็ด และยาง ใช้เป็นยา
6522,หมึกกระดอง,หมึกกระดอง,,,น.,สัตว์ทะเลจำพวกปลาหมึกชนิดหนึ่ง ตัวกลม สีดำ มีกระดองใสอยู่ด้านในตัว
6523,หมึกหลอด,หมึกหลอด,,,น.,สัตว์ทะเลจำพวกปลาหมึกชนิดหนึ่ง ตั้วสั้น สีขาวเหลือง
6524,หมึกหอม,หมึกหอม,,,น.,สัตว์ทะเลจำพวกปลาหมึกชนิดหนึ่ง ตั้วสั้น สีขาว
6525,หมู,หมู,หมู,หมู,น.,ชื่อสัตว์สี่เท้าชนิดหนึ่ง เลี้ยงลูกด้วยนม มีหลายพันธุ์ จมูก ปาก ยื่นยาวออกมา เวลาหาอาหารจะใช้ปากดุนออกไปเรื่อยๆ
6526,หมูขุน/  หมูเลี้ยงเอาเนื้อ,หมูขุน,หมูขุน,หมูเนื้อ,น.,หมูตัวผู้ที่เลี้ยงเอาไว้เพื่อขายเนื้อ
6527,หมูเค็ม/  เนื้อเค็ม,หมูเค็ม/  เนื้อเค็ม/  เนื้อใส่เกลือ,ชิ้นเถิบ/  จิ๊นเค็ม,เนื้อเค็ม/  ซิ้นแห้ง,น.,เนื้อสัตว์ที่นำมาทำเป็นแผ่น โดยมากมีรสเค็ม
6528,หมูตอน,หมูลด,หมูหำใน,หมูไข่หำ,น.,หมูที่ตอนแล้วเอาอัณฑะออกไม่หมด เนื้อหมูจะมีกลิ่นฉุน บางตัวยังสามารถผสมพันธุ์ได้อีก
6529,หมูทอด/  หมูย่าง/  เนื้อย่าง,หมูทอด/  เนื้อทอด/  เนื้อปิ้ง,ชิ้นทอด/  จิ๊นทอด/  ชิ้นปิ้ง/  จิ๊นปิ้ง,หมูทอด/  ซิ้นหมูทอด/  ซิ้นหมูปิ้ง/  ปิ้งซิ้นหมู,น.,เนื้อหมูที่ทำให้สุกโดยวิธีปิ้งหรือทอด
6530,หมูโทน,หมูโทน,หมูทอก,หมูโทน/  หมูทอก/  หมูปัง,น.,หมูใหญ่ที่อยู่โดดเดี่ยวตามลำพัง
6531,หมูป่า,หมูเถื่อน,หมูป่า,หมูป่า,น.,ชื่อสัตว์สี่เท้าชนิดหนึ่ง เลี้ยงลูกด้วยนม มีเขี้ยวยื่นยาวออกมา 2 ข้าง มีกำลังมาก ดุร้าย หากินอยู่ในป่า
6532,หมูพันธุ์เนื้อ/  หมูเนื้อ,หมูพันธุ์/  หมูเนื้อ,หมูพันธุ์เนื้อ,หมูพันธุ์เนื้อ/  หมูเนื้อ,น.,หมูที่เลี้ยงเพื่อนำเนื้อมาใช้ประโยชน์
6533,หมูแม่พันธุ์,แม่พันธุ์/  แม่หมู,แม่พันธุ์,หมูแม่พันธุ์/  หมูแนว/  ตัวแม่,น.,หมูตัวเมียที่เลี้ยงไว้เพื่อทำพันธุ์
6534,หมูรุ่น,หมูรุ่น/  หมูสาว,หมูรุ่น,หมูรุ่น/  หมูถ่าว/  หมูกะเทง,น.,หมูที่อยู่ในวัยกลางๆ
6535,หมูอ้วน,หมูพี/  หมูมุง,หมูใหญ่,หมูพันธุ์/  หมูใหญ่,น.,หมูที่มีลักษณะอ้วนโตมาก
6536,หยอดหลุม,หยอดหลุม,หยอดหลุม/  ใส่ข้าว,หยอดหลุม/  หยอดเชื้อพันธุ์/  ใส่ข้าว,ก.,ใส่เมล็ดพันธุ์ข้าวลงในหลุมที่เตรียมไว้
6537,หยาดนํ้าค้าง,หยาดนํ้าค้าง,หยาดนํ้าค้าง,,น.,ชื่อพรรณไม้ล้มลุกขนาดเล็กชนิดหนึ่ง กินสัตว์เล็กเป็นอาหารเสริม ใบรูปช้อนสีเขียวแดง มีขนเหนียวเรียงกันเป็นวงกลมแผ่อยู่บนพื้นดิน ออกดอกเล็กสีขาวเป็นช่อ ผลกลมเล็ก ทุกส่วนใช้เป็นยา
6538,หยุด/  ยอ,เดีย/  เชียม/  เชียมลง/  ยู/  โย,หยุด/  ยอ,หยุด/  ยอ/  อยู่/  เชา/  โจ,น.,คำพูดที่ใช้สั่งให้ควายหยุด
6539,หล่น/  ร่วง,หล่น,หล่น/  โล่ง/  เฮือง/  เฮียง/  หย่อน,หล่น/  หล่นข่วน/  ร่วง/  ฮ่วง/  แห่ว,ก.,ผลไม้ตกลงมาจากต้นก่อนสุกตามปรกติ
6540,หลบ,ด้าน,ด้าน,หาย,ก.,หดตัวหายไป กลับเข้าไป ใช้กับฝีเป็นต้น
6541,,หลบ,กำ,ลำ/  ลำหมี่,ก.,แบ่งจังหวะเส้นพุ่งที่ทำให้เกิดลาย เส้นด้ายในหนึ่งลำมีเส้นด้ายเป็นจำนวนเส้นคู่ ทำให้เกิดจังหวะของลายที่ลดหลั่นกัน เป็นกรรมวิธีในการทอผ้ามัดหมี่
6542,,หลบธาตุ,,,ก.,หันหัวกระดูกหรืออัฐิที่เดิมหันไปทางทิศตะวันตกให้หันไปทางทิศตะวันออก หลังจากที่พระสวดบังสุกุลแล้ว เป็นพิธีที่กระทำในรุ่งเช้าของวันถัดจากวันเผาศพในบางท้องถิ่น
6543,หลวงพ่อ/  หลวงตา,หลวงพ่อ/  พ่อหลวง/  ลูกหลวง,หลวงตา/  หลวงพ่อ/  ตุ๊เจ้า/  ตุ๊ปู่ /  ตุ๊ลุง,หลวงพ่อ/  หลวงตา/  เจ้าหัวพ่อ/  เจ้าหัวลุง/  ครูบาพ่อ,น.,คำเรียกแทนชื่อพระภิกษุที่มีอายุมาก
6544,,หลอกหาด/  ไม่สู้,,งัวหลอบ,ก.,ทำทีหลอกแต่ไม่สู้ ใช้ในกีฬาชนวัว
6545,,,หลองพราง/  หลองข้าวด่วน/  หลอง,เล้า,น.,ที่เก็บข้าวขนาดเล็ก อาจใช้ภาชนะสานขนาดใหญ่ ยาด้วยมูลวัวมูลควายไว้ นำไปไว้บนยุ้งข้าว ถือว่าเป็นยุ้งสำรองข้าว ถ้าข้าวสารหมด จะใช้ข้าวในยุ้งสำรองนี้
6546,หลอดลมโป่งพอง/  ริดสีดวงมองคร่อ/  หลอดลมอักเสบ/  ถุงลมโป่งพอง,หลอดลมโป่งพอง/  ถุงลมโป่งพอง,หลอดลมโป่งพอง,ปอดพอง,น.,ชื่อโรคชนิดหนึ่ง เกิดกับหลอดลม ทำให้หน้าบวม ตัวเหลือง
6547,,หลอนปลา/  ชักหยวก,,กะทง/  กะโทง/  โทง/  แพ,น.,เครื่องจับปลาทำด้วยกาบกล้วย เย็บติดกันเป็นแพ ภายในใส่ขี้เถ้า ลากไปบนนํ้าเพื่อให้ปลากระโดดเข้าอย่างเรือผีหลอก
6548,หละ,ละ,,,น.,ชื่อโรคเด็กอ่อน เกิดจากสายสะดือเป็นพิษ มีอาการลิ้นกระด้าง คางแข็ง
6549,หลักค้น/  พัดด้าย,หลักค้น,ตัวเดินด้าย,หลักค้น/  โฮงค้นหมี่/  โฮงค้น,น.,เครื่องมือใช้สำหรับเดินด้ายที่จะวางเส้นด้ายที่ใช้ทอผ้า
6550,หลักควาย,หลักควาย,หลักควาย,หลักควาย,น.,เสาหรือไม้ที่ใช้ผูกเชือกคล้องคอควาย
6551,หลักงาน,หลักหัวนา/  หลักปัก,หลักคันแทนา/  หลักคันแดน/  หลักหัวคันนา,หลักแดน/  คันแดน,น.,หลักตอกที่กึ่งกลางคันนาที่แบ่งเขตแดน เพื่อใช้เป็นเครื่องสังเกตการถือครองที่นาแต่ละแปลง
6552,หลักจับ/  มือจับ/  เสาจับ,มือจับ,ราว/  ฮาว/  ราวจับ/  ฮาวจับ,หลักจับ/  ไม้จับแม่มอง,น.,ส่วนประกอบของครกกระเดื่อง เป็นหลักไม้ปักคร่อมอยู่ที่หางแม่มอง เพื่อให้ผู้ตำข้าวใช้จับพยุงตัวเวลาตำข้าว
6553,,,หลักแท,,น.,ไม้สำหรับขวางลำนํ้าเพื่อทำแท
6554,,,,หลักปี,น.,ไม้ยอหรือไม้คูณทำเหมือนเสาธง ทางต้นหลักค่อนข้างแหลม ยาวเท่าศอกคนป่วย ใช้ในพิธีต่อหลักปี
6555,,,หลักมอง,,น.,ส่วนประกอบของฝายมอง เป็นไม้ขนาดใหญ่ อาจทำจากเสายุ้งข้าวมาเสี้ยมปลาย เพื่อตอกขวางทางนํ้าเป็นระยะ
6556,,,หลักลอ/  หลัก,,น.,ส่วนประกอบของฝายมอง มีขนาดรองจากหลักมอง ใช้ตอกในส่วนที่รับกับกระแสนํ้าโดยตรง
6557,หลักลอมฟาง/  หลักกองฟาง/  หลักฟาง,หลักฟางข้าว,หลักฟาง,หลักฟาง/  ไม้กลางเฟือง,น.,ไม้ที่นำมาปักเป็นเสาเพื่อก่อลอมฟาง มักใช้ลำไม้ไผ่ ทำให้ลอมฟางทรงตัวอยู่ได้และกำหนดขนาดของลอมฟาง
6558,หลักวัน,ไนหัน,ก้อหลอด,หลักเผีย/  หลักโค่น,น.,อุปกรณ์ที่ใช้กรอและเดินด้ายฝ้ายเข้าหลอดด้าย เพื่อทำเป็นด้ายยืนในการทอผ้า
